key,title,decision,reason,criteria,timestamp
UGJ9C2KH,CTISum: a new benchmark dataset for cyber threat intelligence summarization,INCLUDE,Dataset for CTI Summarization (Threat Analysis support).,"IC1,IC2",2026-01-12T11:17:44.666998
WMJBUSD8,KGV: integrating large language models with knowledge graphs for cyber threat intelligence credibility assessment,INCLUDE,CTI Credibility Assessment (Threat Detection support).,"IC1,IC2",2026-01-12T11:20:39.156510
DCWV2KWM,PhishAgent: a robust multimodal agent for phishing webpage detection,INCLUDE,Explicit LLM-based phishing detection.,"IC1,IC2",2026-01-12T11:20:40.191312
UJT4RMV9,HSF: defending against jailbreak attacks with hidden state filtering,INCLUDE,Uses LLM Hidden States to detect adversarial/jailbreak inputs.,"IC1,IC2",2026-01-12T11:20:41.162054
TEJ9EMD7,From ML to LLM: evaluating the robustness of phishing webpage detection models against adversarial attacks,INCLUDE,Evaluates MLLM-based phishing detector.,"IC1,IC2",2026-01-12T11:17:45.563071
HCWXPKZ4,A lean transformer model for dynamic malware analysis and detection,INCLUDE,Uses Transformer (LLM architecture) for malware detection.,"IC1,IC2",2026-01-12T11:17:46.832877
BSMAUPXM,"PhishLang: a real-time, fully client-side phishing detection framework using MobileBERT",INCLUDE,Uses MobileBERT for Phishing detection.,"IC1,IC2",2026-01-12T11:17:47.790232
FXXR8988,Fake news detection and manipulation reasoning via large vision-language models,INCLUDE,Uses LVLM for Fake News (Disinformation) detection.,"IC1,IC2",2026-01-12T11:17:41.444573
6CH8SI5K,Static detection of filesystem vulnerabilities in android systems,INCLUDE,Uses LLM for Vulnerability Detection (validation/exploit generation).,"IC1,IC2",2026-01-12T11:17:42.614055
FBZ267KJ,Defending large language models against attacks with residual stream activation analysis,INCLUDE,Uses LLM internals to classify attack prompts.,"IC1,IC2",2026-01-12T11:17:36.149625
Z2DNB2DN,A novel generative AI-based framework for anomaly detection in multicast messages in smart grid communications,INCLUDE,Explicit LLM-based Anomaly Detection in Smart Grid.,"IC1,IC2",2026-01-12T11:17:37.697572
UGMNFXA7,DomURLs_BERT: pre-trained BERT-based model for malicious domains and URLs detection and classification,INCLUDE,Explicit BERT (LLM) based malicious domain detection.,"IC1,IC2",2026-01-12T11:20:52.130276
AJIXZPI5,ANVIL: anomaly-based vulnerability identification without labelled training data,INCLUDE,Explicit LLM-based Vulnerability Detection.,"IC1,IC2",2026-01-12T11:20:50.676117
NEVQJ9XK,Towards automatic hands-on-keyboard attack detection using LLMs in EDR solutions,INCLUDE,Explicit LLM-based HOK attack detection.,"IC1,IC2",2026-01-12T11:20:45.537524
B3V992HH,PenHeal: a two-stage LLM framework for automated pentesting and optimal remediation,INCLUDE,Automated Pentesting (Vulnerability Detection) using LLMs.,"IC1,IC2",2026-01-12T11:20:46.470987
MXT32JJ7,Is the digital forensics and incident response pipeline ready for text-based threats in LLM era?,INCLUDE,Detection/attribution of LLM-generated text (Threat Detection).,"IC1,IC2",2026-01-12T11:20:48.098487
HMAQA7RX,MistralBSM: leveraging mistral-7B for vehicular networks misbehavior detection,INCLUDE,Explicit LLM-based Misbehavior Detection in Vehicular Networks.,"IC1,IC2",2026-01-12T11:20:49.336305
ARUFE797,LLMCloudHunter: harnessing LLMs for automated extraction of detection rules from cloud-based CTI,INCLUDE,Uses LLM to extract detection rules (Detection Engineering).,"IC1,IC2",2026-01-12T11:20:43.691809
GDIUX8BS,PEEK: phishing evolution framework for phishing generation and evolving pattern analysis using large language models,INCLUDE,Uses LLMs to generate phishing for training detectors.,"IC1,IC2",2026-01-12T11:23:49.689805
Z9HCE7SB,LLM app squatting and cloning,INCLUDE,Uses BERT to detect app cloning/squatting.,"IC1,IC2",2026-01-12T11:23:51.695257
PD3P67H9,MultiKG: multi-source threat intelligence aggregation for high-quality knowledge graph representation of attack techniques,INCLUDE,Uses LLM for Attack Graph construction (Threat Analysis support).,"IC1,IC2",2026-01-12T11:23:52.911899
ZB5TVUZ4,Continuous GNN-based anomaly detection on edge using efficient adaptive knowledge graph learning,INCLUDE,Uses LLM to derive Knowledge Graph for Anomaly Detection (VAD).,"IC1,IC2",2026-01-12T11:23:54.162805
K9IIDQTZ,Secret breach prevention in software issue reports,INCLUDE,Uses LLM to detect leaked secrets (Threat Detection).,"IC1,IC2",2026-01-12T11:20:58.645736
IGCMHNIR,Palisade -- prompt injection detection framework,INCLUDE,Uses companion LLM to detect Prompt Injection attacks.,"IC1,IC2",2026-01-12T11:23:46.955901
QKE76NRU,Embedding-based classifiers can detect prompt injection attacks,INCLUDE,Uses LLM Embeddings to detect Prompt Injection.,"IC1,IC2",2026-01-12T11:23:47.868214
NZQPPCHG,InjecGuard: benchmarking and mitigating over-defense in prompt injection guardrail models,INCLUDE,Proposes a prompt guard model (Detector) for Prompt Injection.,"IC1,IC2",2026-01-12T11:23:48.813799
U68QBKVK,BlockScan: detecting anomalies in blockchain transactions,INCLUDE,Transformer (LLM architecture) for Blockchain Anomaly Detection.,"IC1,IC2",2026-01-12T11:20:55.824925
2NCF5QD7,Data-centric NLP backdoor defense from the lens of memorization,INCLUDE,Detection of Backdoor Triggers in NLP models.,"IC1,IC2",2026-01-12T11:20:53.083314
UU7HWP9B,IntelliRadar: a comprehensive platform to pinpoint malicious package information from cyber intelligence,INCLUDE,Uses LLM for Malicious Package Intelligence gathering.,"IC1,IC2",2026-01-12T11:20:54.786534
R8ZAUXDE,Take package as language: anomaly detection using transformer,INCLUDE,Proposes NIDS-GPT for network intrusion detection.,"IC1,IC2",2026-01-12T11:32:36.677089
FK2T72R3,INVARLLM: LLM-assisted physical invariant extraction for cyber-physical systems anomaly detection,INCLUDE,Uses LLMs to extract invariants for CPS anomaly detection.,"IC1,IC2",2026-01-12T11:32:37.694284
RBMERP5K,TIPS: threat actor informed prioritization of applications using SecEncoder,INCLUDE,Proposes SecEncoder (specialized LLM) to detect/prioritize compromised applications.,"IC1,IC2",2026-01-12T11:32:38.724587
RDB6KV5E,FATH: authentication-based test-time defense against indirect prompt injection attacks,INCLUDE,Proposes a novel defense/detection system (FATH) against indirect prompt injection.,"IC1,IC2",2026-01-12T11:32:35.085099
AW6V24A8,LLMs for domain generation algorithm detection,INCLUDE,Analyzes/proposes LLMs for DGA detection (malware communication detection).,"IC1,IC2",2026-01-12T11:32:35.859402
C9E99PIC,Enhancing pre-trained language models for vulnerability detection via semantic-preserving data augmentation,INCLUDE,Enhancing LLM-based Vulnerability Detection.,"IC1,IC2",2026-01-12T11:23:56.808684
S7PXRPES,Can LLMs be scammed? A baseline measurement study,INCLUDE,Evaluates LLM capability for Scam Detection.,"IC1,IC2",2026-01-12T11:23:59.203059
2GVVFZJ3,Combating phone scams with LLM-based detection: where do we stand?,INCLUDE,Explicit LLM-based Phone Scam Detection.,"IC1,IC2",2026-01-12T11:23:55.810916
H99A2ZSN,Robust anomaly detection in O-RAN: leveraging LLMs against data manipulation attacks,INCLUDE,Investigates LLMs for anomaly detection in O-RAN against adversarial manipulation.,"IC1,IC2",2026-01-12T11:32:41.829992
QJ5SK5PR,"When AIOps become ""AI oops"": subverting LLM-driven IT operations via telemetry manipulation",INCLUDE,Performs security analysis of AIOps and proposes AIOpsShield (defense/detection).,"IC1,IC2",2026-01-12T11:32:41.003839
Z3FTJSCE,LeakSealer: a semisupervised defense for LLMs against prompt injection and leakage attacks,INCLUDE,Proposes LeakSealer for jailbreak/PII leakage detection.,"IC1,IC2",2026-01-12T11:32:39.457351
IRPI2TAZ,FALCON: autonomous cyber threat intelligence mining with LLMs for IDS rule generation,INCLUDE,FALCON: Autonomous agentic framework for IDS rule generation from CTI mining.,"IC1,IC2",2026-01-12T11:35:01.853174
WU6PT4AQ,Per-sender neural network classifiers for email authorship validation,INCLUDE,Neural network classifiers for email authorship validation (defense against phishing/BEC).,"IC1,IC2",2026-01-12T11:34:54.261362
KASWRKF3,"Enhancing GraphQL security by detecting malicious queries using large language models, sentence transformers, and convolutional neural networks",INCLUDE,Detecting malicious GraphQL queries using LLMs and transformers.,"IC1,IC2",2026-01-12T11:34:55.086246
SZQ73KNU,MCP-guard: a defense framework for model context protocol integrity in large language model applications,INCLUDE,MCP-Guard defense framework for protecting LLM-tool interactions.,"IC1,IC2",2026-01-12T11:34:55.911470
MPG747M9,Can multi-modal (reasoning) LLMs detect document manipulation?,INCLUDE,Investigates multi-modal LLMs for detecting document manipulation (fraud threat).,"IC1,IC2",2026-01-12T11:35:00.956211
9TEIRPG6,Chimera: harnessing multi-agent LLMs for automatic insider threat simulation,INCLUDE,Simulates and detects insider threats using multi-agent LLMs.,"IC1,IC2",2026-01-12T11:34:58.777691
K5HHI6XG,Securing agentic AI: threat modeling and risk analysis for network monitoring agentic AI system,INCLUDE,Threat modeling and risk analysis for agentic AI in network monitoring.,"IC1,IC2",2026-01-12T11:34:59.889070
34H6JM5W,Leveraging large language models for SQL behavior-based database intrusion detection,INCLUDE,Leverages BERT for SQL behavior-based database intrusion detection.,"IC1,IC2",2026-01-12T11:34:49.322515
NVDW2URN,DMFI: dual-modality fine-tuning and inference framework for LLM-based insider threat detection,INCLUDE,Dual-modality framework for LLM-based insider threat detection.,"IC1,IC2",2026-01-12T11:34:51.855408
884KRRGI,Quantifying conversation drift in MCP via latent polytope,INCLUDE,SecMCP framework for detecting conversation drift and hijacking in tool-integrated LLMs.,"IC1,IC2",2026-01-12T11:34:52.845929
I2BM5KAU,Mitigating distribution shift in graph-based android malware classification via function metadata and LLM embeddings,INCLUDE,Enhances Android malware classification using LLM embeddings.,"IC1,IC2",2026-01-12T11:34:57.303456
BMFBFDUP,Breaking obfuscation: cluster-aware graph with LLM-aided recovery for malicious JavaScript detection,INCLUDE,Proposes LLM-aided recovery for malicious JS detection.,"IC1,IC2",2026-01-12T11:32:44.119870
DWCDTG7X,Counterfactual evaluation for blind attack detection in LLM-based evaluation systems,INCLUDE,Proposes framework for detecting blind attacks/prompt injection.,"IC1,IC2",2026-01-12T11:32:44.940071
5WFGHRN6,DUP: detection-guided unlearning for backdoor purification in language models,INCLUDE,Proposes detection and purification framework for backdoor attacks.,"IC1,IC2",2026-01-12T11:34:47.960014
N3AR23QQ,Interpretable anomaly-based DDoS detection in AI-RAN with XAI and LLMs,INCLUDE,Proposes LLM-interpretable detection system for DDoS in RAN.,"IC1,IC2",2026-01-12T11:32:46.548004
AN2H8REI,ConfGuard: a simple and effective backdoor detection for large language models,INCLUDE,Proposes ConfGuard for real-time backdoor detection in LLMs.,"IC1,IC2",2026-01-12T11:34:50.834811
KDN4C857,"Anticipate, simulate, reason (ASR): a comprehensive generative AI framework for combating messaging scams",INCLUDE,Proposes framework for identifying messaging scams (phishing/fraud).,"IC1,IC2",2026-01-12T11:32:43.348186
2GZ5R566,From text to actionable intelligence: automating STIX entity and relationship extraction,INCLUDE,Automates extraction of threat intelligence (STIX) from unstructured text.,"IC1,IC2",2026-01-12T11:32:45.729623
MAD3UE3F,"MindGuard: tracking, detecting, and attributing MCP tool poisoning attack via decision dependence graph",INCLUDE,MindGuard: detecting and attributing tool poisoning attacks in MCP via decision dependence graphs.,"IC1,IC2",2026-01-12T11:37:51.846046
ZMHQJEMJ,PromptSleuth: detecting prompt injection via semantic intent invariance,INCLUDE,PromptSleuth: detecting prompt injection via semantic intent invariance.,"IC1,IC2",2026-01-12T11:37:52.936770
D9AC9P7M,LLM-driven provenance forensics for threat investigation and detection,INCLUDE,PROVSEEK: agentic framework for automated provenance-driven forensic analysis and threat detection.,"IC1,IC2",2026-01-12T11:37:54.355308
RJPPUJQE,Mind the gap: time-of-check to time-of-use vulnerabilities in LLM-enabled agents,INCLUDE,First study of TOCTOU vulnerabilities in LLM agents with detection/mitigation techniques.,"IC1,IC2",2026-01-12T11:37:48.385967
D5B2G4VC,AnomalyExplainer explainable AI for LLM-based anomaly detection using BERTViz and captum,INCLUDE,AnomalyExplainer: XAI framework for LLM-based anomaly detection in logs.,"IC1,IC2",2026-01-12T11:37:49.961124
975K29C9,BlindGuard: safeguarding LLM-based multi-agent systems under unknown attacks,INCLUDE,"BlindGuard unsupervised defense for multi-agent systems against prompt injection, poisoning, and tool attacks.","IC1,IC2",2026-01-12T11:37:47.297220
QP8U3A3D,LLM-based identification of infostealer infection vectors from screenshots: the case of aurora,INCLUDE,LLM-based identification of infostealer infection vectors from screenshots.,"IC1,IC2",2026-01-12T11:35:04.101308
FPNEXHKG,Paladin: defending LLM-enabled phishing emails with a new trigger-tag paradigm,INCLUDE,Paladin: instrumented LLMs for identifying phishing emails via trigger-tag associations.,"IC1,IC2",2026-01-12T11:37:56.237538
IXS2J4CD,Insight-LLM: LLM-enhanced multi-view fusion in insider threat detection,INCLUDE,Insight-LLM: multi-view fusion framework for insider threat detection.,"IC1,IC2",2026-01-12T11:37:55.391090
9KFGVUPG,"When MCP servers attack: taxonomy, feasibility, and mitigation",INCLUDE,Systematic study and taxonomy of malicious MCP server attacks and potential mitigations.,"IC1,IC2",2026-01-12T11:41:39.007082
GEVD3HPM,LISA technical report: an agentic framework for smart contract auditing,INCLUDE,LISA agentic framework for smart contract auditing and vulnerability detection.,"IC1,IC2",2026-01-12T11:41:40.011270
TV4D2GI9,Design and development of an intelligent LLM-based LDAP honeypot,INCLUDE,Design of an intelligent LLM-based LDAP honeypot for threat analysis.,"IC1,IC2",2026-01-12T11:41:36.065159
8EBRAGUN,A framework for rapidly developing and deploying protection against large language model attacks,INCLUDE,Framework for developing and deploying protection systems against LLM-related attacks.,"IC1,IC2",2026-01-12T11:41:37.705615
VKWQE3KU,BEACON: behavioral malware classification with large language model embeddings and deep learning,INCLUDE,BEACON behavioral malware classification using LLM embeddings and deep learning.,"IC1,IC2",2026-01-12T11:41:35.233748
RB9BCEJU,Fraud detection and risk assessment of online payment transactions on e-commerce platforms based on LLM and GCN frameworks,INCLUDE,Fraud detection framework using LLMs and GCNs for e-commerce transactions.,"IC1,IC2",2026-01-12T11:41:33.466101
XD45W9N2,Securing LLM-generated embedded firmware through AI agent-driven validation and patching,INCLUDE,Agent-driven validation and patching of LLM-generated firmware using Threat Detection agents.,"IC1,IC2",2026-01-12T11:41:34.265324
JT7AFHXC,"AQUA-LLM: evaluating accuracy, quantization, and adversarial robustness trade-offs in LLMs for cybersecurity question answering",INCLUDE,Evaluating adversarial robustness trade-offs in LLMs for cybersecurity question answering workflows.,"IC1,IC2",2026-01-12T11:41:36.830630
SD4SKP6K,KGBERT4Eth: a feature-complete transformer powered by knowledge graph for multi-task ethereum fraud detection,INCLUDE,KGBERT4Eth: joint Transformer and Knowledge Graph approach for Ethereum fraud detection.,"IC1,IC2",2026-01-12T11:37:58.615424
RTXP4VB7,KubeGuard: LLM-assisted kubernetes hardening via configuration files and runtime logs analysis,INCLUDE,KubeGuard: LLM-assisted Kubernetes hardening via log and configuration analysis.,"IC1,IC2",2026-01-12T11:37:59.659147
Q8TDAGMX,Cross-service threat intelligence in LLM services using privacy-preserving fingerprints,INCLUDE,BinaryShield: privacy-preserving sharing of prompt injection threat intelligence.,"IC1,IC2",2026-01-12T11:38:01.732195
VXS4GKD6,Adversarial bug reports as a security risk in language model-based automated program repair,INCLUDE,Evaluates security risks of adversarial bug reports in LLM-based program repair.,"IC1,IC2",2026-01-12T11:38:00.545955
FBZPAE5C,An ethically grounded LLM-based approach to insider threat synthesis and detection,INCLUDE,Ethically grounded LLM approach for insider threat synthesis and detection.,"IC1,IC2",2026-01-12T11:38:03.236376
85PA5KH4,Send to which account? Evaluation of an LLM-based scambaiting system,INCLUDE,Proactive LLM-based scambaiting system for intelligence extraction and scammer engagement.,"IC1,IC2",2026-01-12T11:41:32.168030
XUMTVVAR,TraceLLM: security diagnosis through traces and smart contracts in ethereum,INCLUDE,TraceLLM: Ethereum security diagnosis integrating execution traces and contract code.,"IC1,IC2",2026-01-12T11:37:56.971020
2CHHXVCA,Exploring backdoor attack and defense for LLM-empowered recommendations,INCLUDE,Poison Scanner (P-Scanner) defense framework for detecting backdoor attacks in recommenders.,"IC1,IC2",2026-01-12T11:41:45.765421
4HAPX9WD,EvoMail: self-evolving cognitive agents for adaptive spam and phishing email defense,INCLUDE,EvoMail self-evolving cognitive agents for adaptive spam and phishing detection.,"IC1,IC2",2026-01-12T11:41:42.911862
4QD52D4P,AI kill switch for malicious web-based LLM agent,INCLUDE,AutoGuard AI kill switch framework for detecting and halting malicious web agents.,"IC1,IC2",2026-01-12T11:41:43.879743
CT44WBZV,Benchmarking LLM-assisted blue teaming via standardized threat hunting,INCLUDE,Benchmarking LLM-assisted blue teaming and threat hunting standardized workflows.,"IC1,IC2",2026-01-12T11:41:44.947335
43RKP9H5,Sentinel agents for secure and trustworthy agentic AI in multi-agent systems,INCLUDE,Proposes Sentinel Agents for security monitoring and threat detection in multi-agent systems.,"IC1,IC2",2026-01-12T11:41:41.878047
Z9C972M7,Can LLMs handle WebShell detection? Overcoming detection challenges with behavioral function-aware framework,INCLUDE,Behavioral function-aware framework for WebShell detection using LLMs.,"IC1,IC2",2026-01-12T11:44:45.118802
IXBG7BF2,SecureBERT 2.0: advanced language model for cybersecurity intelligence,INCLUDE,SecureBERT 2.0 specialized encoder-only model for automated threat detection and incident triage.,"IC1,IC2",2026-01-12T11:44:46.734974
MR26WGFM,A-MemGuard: a proactive defense framework for LLM-based agent memory,INCLUDE,A-MemGuard proactive defense framework for LLM agent memory against malicious injections.,"IC1,IC2",2026-01-12T11:44:47.827684
JX7DKVPJ,MobiLLM: an agentic AI framework for closed-loop threat mitigation in 6G open RANs,INCLUDE,MobiLLM agentic framework for automated threat mitigation in 6G Open RAN.,"IC1,IC2",2026-01-12T11:44:45.902479
5F38Q353,LLMpatronous: harnessing the power of LLMs for vulnerability detection,INCLUDE,LLMpatronous framework for vulnerability detection using RAG and Mixture-of-Agents.,"IC1,IC2",2026-01-12T11:44:51.075001
8B4ZAER2,Secret breach detection in source code with large language models,INCLUDE,Secret breach detection in source code using hybrid regex and fine-tuned LLMs.,"IC1,IC2",2026-01-12T11:44:53.429470
Q6AV5XR2,InjectLab: a tactical framework for adversarial threat modeling against large language models,INCLUDE,InjectLab framework mapping adversarial techniques against LLMs with detection and mitigation guidance.,"IC1,IC2",2026-01-12T11:44:52.110397
FPSVW7R4,AdaptiveGuard: towards adaptive runtime safety for LLM-powered software,INCLUDE,AdaptiveGuard adaptive runtime safety framework for detecting and learning to defend against novel jailbreak threats.,"IC1,IC2",2026-01-12T11:44:49.969487
XPFJIIXB,ALPHA: LLM-enabled active learning for human-free network anomaly detection,INCLUDE,ALPHA active learning pipeline for human-free log analysis and anomaly detection using LLMs.,"IC1,IC2",2026-01-12T11:44:49.132101
W8EVZK2G,Blockchain large language models,INCLUDE,BlockGPT for real-time anomaly detection in blockchain (Ethereum) transactions.,"IC1,IC2",2026-01-12T11:44:55.331218
